ip,timestamp,label,action,risk_score
198.165.246.130,2026-06-22T15:54:56.610110+00:00,malware,blocked,96.0
198.74.136.112,2026-06-22T15:55:05.299702+00:00,sql_injection,rate_limited,76.0
222.152.213.108,2026-06-22T15:55:13.449378+00:00,ddos,monitored,56.0
45.186.233.238,2026-06-22T15:55:24.548008+00:00,sql_injection,rate_limited,71.0
91.16.185.60,2026-06-22T15:55:24.551675+00:00,malware,monitored,52.0
103.5.194.227,2026-06-22T15:55:33.873324+00:00,malware,blocked,90
80.113.161.143,2026-06-22T15:55:33.876511+00:00,sql_injection,rate_limited,77.0
89.46.81.128,2026-06-22T15:55:42.378884+00:00,bruteforce,rate_limited,70.0
45.127.233.214,2026-06-22T15:55:53.153049+00:00,port_scan,rate_limited,76.0
103.126.202.253,2026-06-22T15:56:01.790464+00:00,malware,blocked,90
103.147.89.147,2026-06-22T15:56:10.366751+00:00,port_scan,blocked,93.0
194.136.70.245,2026-06-22T15:56:20.004402+00:00,bruteforce,monitored,48.0
45.43.172.22,2026-06-22T15:56:31.095954+00:00,malware,monitored,49.0
185.143.225.8,2026-06-22T15:56:43.114770+00:00,ddos,blocked,96.0
194.94.16.22,2026-06-22T15:56:52.574589+00:00,malware,rate_limited,77.0
194.110.94.240,2026-06-22T15:57:00.847904+00:00,port_scan,monitored,51.0
194.228.200.215,2026-06-22T15:57:11.905128+00:00,bruteforce,rate_limited,79.0
91.41.28.58,2026-06-22T15:57:20.134999+00:00,ddos,monitored,67.0
91.57.199.228,2026-06-22T15:57:31.210727+00:00,port_scan,rate_limited,73.0
194.212.68.254,2026-06-22T15:57:42.589749+00:00,bruteforce,blocked,96.0
91.142.154.119,2026-06-22T15:57:53.299249+00:00,port_scan,blocked,90
198.165.172.81,2026-06-22T15:58:04.923537+00:00,bruteforce,monitored,68.0
198.217.26.149,2026-06-22T15:58:15.366617+00:00,bruteforce,rate_limited,72.0
89.175.37.145,2026-06-22T15:58:27.341323+00:00,sql_injection,rate_limited,79.0
185.66.7.247,2026-06-22T15:58:35.863428+00:00,bruteforce,rate_limited,70.0
222.19.79.110,2026-06-22T15:58:45.134318+00:00,ddos,blocked,91.0
103.246.154.95,2026-06-22T15:58:56.735793+00:00,malware,rate_limited,75.0
89.176.142.141,2026-06-22T15:59:07.072124+00:00,port_scan,rate_limited,80.0
146.171.103.66,2026-06-22T15:59:16.951899+00:00,port_scan,blocked,90
194.112.237.226,2026-06-22T15:59:25.467822+00:00,malware,blocked,90
91.62.34.87,2026-06-22T15:59:35.965222+00:00,sql_injection,rate_limited,65.0
80.21.112.225,2026-06-22T15:59:44.503092+00:00,sql_injection,monitored,61.0
45.239.229.100,2026-06-22T15:59:44.506430+00:00,malware,monitored,72.0
45.85.166.151,2026-06-22T15:59:54.843672+00:00,ddos,monitored,50.0
103.146.191.79,2026-06-22T15:59:55.550619+00:00,ddos,monitored,67.0
45.112.183.120,2026-06-22T16:00:07.162585+00:00,sql_injection,blocked,90
89.107.196.9,2026-06-22T16:00:15.640585+00:00,port_scan,monitored,51.0
89.213.50.209,2026-06-22T16:00:26.324517+00:00,ddos,monitored,71.0
80.8.230.9,2026-06-22T16:00:37.274382+00:00,ddos,monitored,51.0
222.160.133.142,2026-06-22T16:00:47.157556+00:00,bruteforce,rate_limited,84.0
185.151.192.212,2026-06-22T16:00:57.862725+00:00,bruteforce,rate_limited,67.0
198.175.75.82,2026-06-22T16:01:06.802816+00:00,sql_injection,blocked,90
91.233.154.202,2026-06-22T16:01:16.065343+00:00,ddos,blocked,90
80.42.111.129,2026-06-22T16:01:26.756264+00:00,malware,blocked,92.0
103.215.179.18,2026-06-22T16:01:38.497212+00:00,ddos,blocked,90
146.202.226.203,2026-06-22T16:01:48.561399+00:00,ddos,monitored,56.0
222.157.211.20,2026-06-22T16:01:58.107015+00:00,ddos,rate_limited,82.0
198.205.163.128,2026-06-22T16:02:07.297041+00:00,bruteforce,blocked,96.0
146.144.156.77,2026-06-22T16:02:18.085057+00:00,bruteforce,blocked,97.0
146.19.21.225,2026-06-22T16:02:26.209930+00:00,sql_injection,rate_limited,75.0
222.205.206.24,2026-06-22T16:02:35.227955+00:00,port_scan,monitored,74.0
194.104.198.48,2026-06-22T16:02:46.241736+00:00,malware,rate_limited,74.0
222.29.110.142,2026-06-22T16:02:54.811963+00:00,ddos,rate_limited,83.0
80.224.106.34,2026-06-22T16:02:58.709108+00:00,port_scan,rate_limited,66.0
80.127.204.80,2026-06-22T16:02:58.712761+00:00,bruteforce,rate_limited,70.0
198.187.75.156,2026-06-22T16:03:02.865667+00:00,port_scan,rate_limited,78.0
45.195.66.62,2026-06-22T16:03:14.559500+00:00,sql_injection,rate_limited,67.0
146.119.142.210,2026-06-22T16:03:14.563350+00:00,ddos,rate_limited,80.0
80.245.117.125,2026-06-22T16:03:25.409218+00:00,ddos,blocked,94.0
194.175.149.46,2026-06-22T16:03:34.849420+00:00,bruteforce,rate_limited,81.0
146.158.51.54,2026-06-22T16:03:45.277827+00:00,bruteforce,rate_limited,78.0
146.73.157.65,2026-06-22T16:03:55.129414+00:00,sql_injection,blocked,90
146.236.131.53,2026-06-22T16:04:04.931884+00:00,malware,rate_limited,78.0
89.145.6.107,2026-06-22T16:04:14.507078+00:00,malware,blocked,98.0
194.15.178.141,2026-06-22T16:04:14.511013+00:00,malware,blocked,92.0
89.137.15.162,2026-06-22T16:04:23.433224+00:00,bruteforce,rate_limited,72.0
198.118.49.232,2026-06-22T16:04:33.613073+00:00,ddos,blocked,90
80.151.235.68,2026-06-22T16:04:33.617955+00:00,ddos,monitored,72.0
103.109.182.220,2026-06-22T16:04:42.886089+00:00,sql_injection,monitored,63.0
222.10.199.26,2026-06-22T16:04:52.423939+00:00,bruteforce,blocked,96.0
103.192.102.144,2026-06-22T16:05:02.486317+00:00,port_scan,blocked,90
222.214.16.244,2026-06-22T16:05:13.381300+00:00,port_scan,blocked,93.0
91.176.119.3,2026-06-22T16:05:21.705019+00:00,malware,blocked,92.0
198.24.171.34,2026-06-22T16:05:32.418029+00:00,port_scan,rate_limited,66.0
45.217.47.239,2026-06-22T16:05:42.041540+00:00,bruteforce,blocked,90
89.132.206.43,2026-06-22T16:05:52.344144+00:00,sql_injection,rate_limited,82.0
194.78.30.123,2026-06-22T16:06:01.611735+00:00,malware,monitored,73.0
198.205.20.5,2026-06-22T16:06:11.870101+00:00,bruteforce,monitored,54.0
45.159.1.227,2026-06-22T16:06:22.860284+00:00,ddos,blocked,92.0
146.18.175.241,2026-06-22T16:06:28.652940+00:00,malware,blocked,90
45.166.240.173,2026-06-22T16:06:28.656529+00:00,port_scan,monitored,71.0
80.84.15.252,2026-06-22T16:06:33.052063+00:00,bruteforce,rate_limited,77.0
45.146.185.1,2026-06-22T16:06:44.965463+00:00,port_scan,rate_limited,79.0
146.14.23.206,2026-06-22T16:06:54.807263+00:00,sql_injection,rate_limited,67.0
222.65.193.246,2026-06-22T16:07:04.661896+00:00,bruteforce,rate_limited,71.0
222.227.231.166,2026-06-22T16:07:16.155673+00:00,malware,rate_limited,83.0
185.75.124.91,2026-06-22T16:07:25.212775+00:00,sql_injection,monitored,55.0
198.18.180.49,2026-06-22T16:07:33.735619+00:00,bruteforce,blocked,93.0
