timestamp,source_ip,destination_ip,destination_port,protocol,packet_count,request_rate,success_flag,label
2026-01-27T22:44:21.606989,10.0.0.99,192.168.1.10,20,TCP,1,27.33,False,port_scan
2026-01-27T22:44:21.656989,10.0.0.99,192.168.1.10,21,TCP,2,28.38,False,port_scan
2026-01-27T22:44:21.706989,10.0.0.99,192.168.1.10,22,TCP,1,24.07,False,port_scan
2026-01-27T22:44:21.756989,10.0.0.99,192.168.1.10,23,TCP,1,35.88,False,port_scan
2026-01-27T22:44:21.806989,10.0.0.99,192.168.1.10,24,TCP,2,25.56,False,port_scan
2026-01-27T22:44:21.856989,10.0.0.99,192.168.1.10,25,TCP,1,35.9,False,port_scan
2026-01-27T22:44:21.906989,10.0.0.99,192.168.1.10,26,TCP,3,27.29,False,port_scan
2026-01-27T22:44:21.956989,10.0.0.99,192.168.1.10,27,TCP,2,23.94,False,port_scan
2026-01-27T22:44:22.006989,10.0.0.99,192.168.1.10,28,TCP,3,27.43,False,port_scan
2026-01-27T22:44:22.056989,10.0.0.99,192.168.1.10,29,TCP,2,30.02,False,port_scan
2026-01-27T22:44:22.106989,10.0.0.99,192.168.1.10,30,TCP,1,21.55,False,port_scan
2026-01-27T22:44:22.156989,10.0.0.99,192.168.1.10,31,TCP,2,35.4,False,port_scan
2026-01-27T22:44:22.206989,10.0.0.99,192.168.1.10,32,TCP,1,26.62,False,port_scan
2026-01-27T22:44:22.256989,10.0.0.99,192.168.1.10,33,TCP,3,31.16,False,port_scan
2026-01-27T22:44:22.306989,10.0.0.99,192.168.1.10,34,TCP,2,20.35,False,port_scan
2026-01-27T22:44:22.356989,10.0.0.99,192.168.1.10,35,TCP,2,28.12,False,port_scan
2026-01-27T22:44:22.406989,10.0.0.99,192.168.1.10,36,TCP,2,31.95,False,port_scan
2026-01-27T22:44:22.456989,10.0.0.99,192.168.1.10,37,TCP,3,37.32,False,port_scan
2026-01-27T22:44:22.506989,10.0.0.99,192.168.1.10,38,TCP,2,30.94,False,port_scan
2026-01-27T22:44:22.556989,10.0.0.99,192.168.1.10,39,TCP,2,32.65,False,port_scan
2026-01-27T22:44:22.606989,10.0.0.99,192.168.1.10,40,TCP,1,26.37,False,port_scan
2026-01-27T22:44:22.656989,10.0.0.99,192.168.1.10,41,TCP,3,37.06,False,port_scan
2026-01-27T22:44:22.706989,10.0.0.99,192.168.1.10,42,TCP,3,33.02,False,port_scan
2026-01-27T22:44:22.756989,10.0.0.99,192.168.1.10,43,TCP,3,26.57,False,port_scan
2026-01-27T22:44:22.806989,10.0.0.99,192.168.1.10,44,TCP,3,26.12,False,port_scan
2026-01-27T22:44:22.856989,10.0.0.99,192.168.1.10,45,TCP,3,34.02,False,port_scan
2026-01-27T22:44:22.906989,10.0.0.99,192.168.1.10,46,TCP,1,31.07,False,port_scan
2026-01-27T22:44:22.956989,10.0.0.99,192.168.1.10,47,TCP,1,22.0,False,port_scan
2026-01-27T22:44:23.006989,10.0.0.99,192.168.1.10,48,TCP,2,23.95,False,port_scan
2026-01-27T22:44:23.056989,10.0.0.99,192.168.1.10,49,TCP,1,28.23,False,port_scan
2026-01-27T22:44:23.106989,10.0.0.99,192.168.1.10,50,TCP,2,26.05,False,port_scan
2026-01-27T22:44:23.156989,10.0.0.99,192.168.1.10,51,TCP,1,39.66,False,port_scan
2026-01-27T22:44:23.206989,10.0.0.99,192.168.1.10,52,TCP,3,26.24,False,port_scan
2026-01-27T22:44:23.256989,10.0.0.99,192.168.1.10,53,TCP,3,31.35,False,port_scan
2026-01-27T22:44:23.306989,10.0.0.99,192.168.1.10,54,TCP,2,21.16,False,port_scan
2026-01-27T22:44:23.356989,10.0.0.99,192.168.1.10,55,TCP,1,31.74,False,port_scan
