packets_per_second,avg_request_rate,failed_connections,unique_ports,bytes_per_packet,connection_duration,payload_entropy,label
31,1.76,2,3,464.38,9.08,5.5,normal
32,3.07,1,1,466.71,7.89,6.11,normal
35,0.47,2,4,281.44,9.48,3.82,normal
38,2.9,1,4,438.09,6.68,6.07,normal
19,1.47,3,4,601.58,4.88,5.07,normal
1,1.12,0,5,371.07,1.19,6.02,normal
41,2.14,0,2,163.33,3.13,5.15,normal
24,1.42,0,3,465.38,1.23,4.32,normal
13,2.18,2,4,328.48,8.47,6.06,normal
26,3.28,1,0,340.5,3.77,4.43,normal
18,1.05,2,4,268.67,4.83,5.39,normal
27,0.96,1,4,182.73,3.64,4.52,normal
27,2.45,0,1,209.56,7.71,5.95,normal
40,3.25,2,1,197.09,8.86,5.55,normal
20,0.8,1,2,220.65,1.06,5.67,normal
24,2.8,0,4,257.07,6.02,3.39,normal
41,2.64,0,5,457.38,3.84,4.42,normal
16,1.5,1,3,267.01,6.64,4.34,normal
36,1.07,0,2,272.96,6.29,4.42,normal
12,3.65,1,2,493.4,2.46,4.56,normal
34,2.52,1,1,552.9,7.59,6.59,normal
42,3.44,1,1,455.58,8.24,5.54,normal
12,1.07,1,1,182.2,6.28,5.98,normal
0,2.57,2,1,497.3,6.57,3.49,normal
40,3.3,2,4,363.03,6.11,3.52,normal
42,0.9,3,2,279.76,1.86,4.13,normal
22,2.45,3,1,520.39,6.77,4.73,normal
17,1.0,2,1,459.16,5.95,3.8,normal
35,1.9,0,3,559.69,1.76,4.04,normal
31,2.48,0,1,423.53,7.07,5.48,normal
15,1.55,3,3,401.0,9.47,5.44,normal
23,0.35,0,2,448.26,5.12,3.63,normal
38,1.0,2,2,505.62,9.77,5.58,normal
16,2.37,0,5,461.3,1.91,5.27,normal
17,3.03,1,2,386.07,5.29,5.94,normal
33,0.98,1,0,557.75,9.05,3.73,normal
37,3.42,3,2,333.55,1.11,4.28,normal
0,1.07,3,1,427.88,7.7,4.21,normal
19,0.22,3,3,354.78,5.57,4.87,normal
0,1.01,1,2,335.88,6.68,5.19,normal
45,0.93,3,4,236.71,9.65,4.92,normal
22,3.09,2,3,234.73,7.8,6.01,normal
3,1.82,2,1,325.35,9.7,5.09,normal
10,2.94,0,4,599.97,5.89,4.38,normal
5,1.27,0,1,211.82,9.78,4.62,normal
35,2.13,3,3,470.42,4.89,5.09,normal
11,2.63,2,4,352.44,4.81,5.08,normal
7,2.29,1,2,285.47,8.51,3.98,normal
7,0.72,3,2,363.74,0.88,4.1,normal
0,3.2,0,4,477.12,2.42,6.32,normal
18,2.84,3,1,498.07,4.55,4.32,normal
28,3.52,3,2,378.48,7.78,4.44,normal
47,1.49,3,3,559.36,0.84,4.31,normal
0,3.16,3,4,350.36,0.6,4.95,normal
8,1.33,0,3,298.7,4.29,5.36,normal
12,2.52,3,2,305.53,8.32,4.82,normal
25,2.59,3,2,456.14,6.68,3.43,normal
6,3.02,0,1,417.42,3.91,5.41,normal
34,3.16,1,3,343.57,8.13,3.8,normal
5,1.43,2,5,409.73,1.9,4.78,normal
38,0.34,2,4,590.59,2.65,4.94,normal
37,3.53,3,2,506.34,3.37,4.7,normal
12,2.15,3,1,330.35,7.03,5.81,normal
6,1.43,1,1,208.33,9.77,5.69,normal
37,2.8,2,1,362.93,3.66,4.89,normal
31,3.0,3,4,350.86,7.65,5.97,normal
22,1.03,1,2,396.09,5.67,5.81,normal
16,2.96,0,2,287.04,4.58,3.81,normal
27,1.29,0,4,221.73,3.21,4.98,normal
21,1.7,2,4,245.13,8.66,3.97,normal
27,2.77,0,3,186.75,7.84,4.63,normal
36,1.13,3,2,189.65,2.34,4.15,normal
40,0.77,2,4,204.66,4.22,5.61,normal
28,1.01,1,4,291.59,8.08,4.75,normal
25,2.37,0,3,454.19,2.4,4.5,normal
38,2.43,1,1,331.27,7.8,5.31,normal
45,1.9,2,4,388.11,1.65,6.0,normal
25,1.97,0,2,606.76,11.32,5.11,normal
19,1.21,0,1,216.98,5.94,4.02,normal
25,1.17,1,2,216.37,5.85,5.14,normal
32,1.18,1,4,300.25,8.02,5.14,normal
27,1.92,2,1,629.61,3.39,3.6,normal
26,3.36,2,2,331.0,7.27,5.29,normal
22,3.4,1,3,594.21,6.61,6.01,normal
27,2.18,1,3,202.35,5.69,6.12,normal
28,3.35,2,3,445.23,0.48,4.88,normal
24,1.14,3,3,425.38,7.46,3.78,normal
3,0.73,1,4,437.44,3.08,3.4,normal
14,1.95,2,4,436.32,5.65,5.35,normal
14,3.0,0,2,263.09,4.96,5.26,normal
36,2.73,3,3,591.46,3.37,4.47,normal
42,2.54,0,1,386.35,5.93,5.69,normal
29,3.25,2,2,575.48,2.96,6.08,normal
25,2.45,0,2,475.76,7.07,5.46,normal
31,2.82,1,3,253.51,9.53,4.84,normal
43,2.9,2,1,426.72,5.37,5.32,normal
35,1.52,2,3,357.69,8.37,4.03,normal
38,2.93,3,2,257.2,5.21,4.19,normal
14,2.12,2,3,238.43,9.18,3.62,normal
30,2.67,0,3,189.95,4.01,5.51,normal
30,2.91,0,3,328.05,4.78,3.93,normal
